id,vn_kv,P (kW),Q (kW)
0,12.66,0,0
1,12.66,0,0
2,12.66,0,0
3,12.66,0,0
4,12.66,0,0
5,12.66,2.6,2.2
6,12.66,40.4,30
7,12.66,75,54
8,12.66,30,22
9,12.66,28,19
10,12.66,145,104
11,12.66,145,104
12,12.66,8,5
13,12.66,8,5
14,12.66,0,0
15,12.66,45,30
16,12.66,60,35
17,12.66,60,35
18,12.66,0,0
19,12.66,1,0.6
20,12.66,114,81
21,12.66,5,3.5
22,12.66,0,0
23,12.66,28,20
24,12.66,0,0
25,12.66,14,10
26,12.66,14,10
27,12.66,26,18.6
28,12.66,26,18.6
29,12.66,0,0
30,12.66,0,0
31,12.66,0,0
32,12.66,14,10
33,12.66,19.5,14
34,12.66,6,4
35,12.66,26,18.55
36,12.66,26,18.55
37,12.66,0,0
38,12.66,24,17
39,12.66,24,17
40,12.66,1.2,1
41,12.66,0,0
42,12.66,6,4.3
43,12.66,0,0
44,12.66,39.22,26.3
45,12.66,39.22,26.3
46,12.66,0,0
47,12.66,79,56.4
48,12.66,384.7,274.5
49,12.66,384.7,274.5
50,12.66,40.5,28.3
51,12.66,3.6,2.7
52,12.66,4.35,3.5
53,12.66,26.4,19
54,12.66,24,17.2
55,12.66,0,0
56,12.66,0,0
57,12.66,0,0
58,12.66,100,72
59,12.66,0,0
60,12.66,1244,888
61,12.66,32,23
62,12.66,0,0
63,12.66,227,162
64,12.66,59,42
65,12.66,18,13
66,12.66,18,13
67,12.66,28,20
68,12.66,28,20
