,solar,P_solar_max,P_solar_min,P_load,load_min,load_max,SOC_min,SOC_max,P_batt_max,P_batt_min,battery_eta,import_price,export_price,raise_price,lower_price,nu,P_solar,P_meter,P_batt,SOC,Online,import_DOE,export_DOE,upper_IOE,lower_IOE,Upper_DOE_Breach,Lower_DOE_Breach,settled_revenue,aggregator,R_bid,L_bid
0,0.0,0,-7,0.3386549972040003,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00078,0.02595,0.05,,,,,,,,,,,,,1,,
1,0.0,0,-7,0.3513089994284997,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00096,0.0197,0.05,,,,,,,,,,,,,1,,
2,0.0,0,-7,0.4327170008721003,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00078,0.01331,0.05,,,,,,,,,,,,,1,,
3,0.0,0,-7,0.4436309976108003,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00078,0.02003,0.05,,,,,,,,,,,,,1,,
4,0.0,0,-7,0.4132199988222003,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00078,0.01963,0.05,,,,,,,,,,,,,1,,
5,0.0,0,-7,0.3887880016722003,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00078,0.01574,0.05,,,,,,,,,,,,,1,,
6,0.0,0,-7,0.3481770012095997,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.0006,0.02573,0.05,,,,,,,,,,,,,1,,
7,0.0,0,-7,0.2838119991993,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00078,0.01489,0.05,,,,,,,,,,,,,1,,
8,0.0,0,-7,0.2702129986320003,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00064,0.01546,0.05,,,,,,,,,,,,,1,,
9,0.0,0,-7,0.23229600107400003,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00051,0.02014,0.05,,,,,,,,,,,,,1,,
